MUNICIPALITY,POPULATION,DENSITY SQMI
ST. LOUIS,279695,4886
SHREWSBURY,6402,4445
MAPLEWOOD,8296,5284
RICHMOND HEIGHTS,9286,4054
CLAYTON,17355,6920
UNIVERSITY CITY,35065,5961
WELLSTON,1537,1648
HILLSDALE,1216,3550
PINE LAWN,2754,4445
JENNINGS,12895,3454
BELLEFONTAINE NEIGHBORS,10740,2440
RIVERVIEW,2397,2888
LEMAY,35370,3323
CONCORD,37215,3645
GRAVOIS,34852,3198
MARLBOROUGH,2221,9780
WEBSTER GROVES,24010,4061
BRENTWOOD,8223,4215
VELDA CITY,1188,7287
VELDA VILLAGE HILLS,881,7345
UPLANDS PARK,312,4731
BEVERLY HILLS,475,5289
NORTHWOODS,3687,5278
FLORDELL HILLS,724,5907
COUNTRY CLUB HILLS,1014,5438
MOLINE ACRES,2156,3764
PASADENA HILLS,912,4300
NORWOOD COURT,890,7274
PASADENA PARK,435,4434
HANLEY HILLS,2009,5598
PAGEDALE,2554,2123
OVERLAND,15955,3635
ROCK HILL,4750,4305
GLENDALE,6176,4763